item_canonical,canonical_norm,item_id_propose,label_fr_propose,item_code,taxo_l1,taxo_l3,score,confiance,nb_lignes,prix_moyen,annees,valider_oui_non
Câble télécommande,câble télécommande,cable_telecommande,Câble télécommande,LG-202603-000251,Electricite,Cable,1.0,AUTO,28,32417.214285714286,2023-2026,OUI
Chevillère de chevaux,chevillère chevaux,chevillere_chevaux,Chevillère de chevaux,LG-202603-000375,Sport,Chevillere,1.0,AUTO,28,6696.107142857143,2023-2026,OUI
Chocolat punch boites donner le grammage,chocolat punch boites donner grammage,chocolat_punch_boites_donner_grammage,Chocolat punch boites donner le grammage,LG-202603-000385,Alimentation,Chocolat,1.0,AUTO,28,2316.8928571428573,2023-2026,OUI
Ciment M 32.5 R,ciment,ciment_m_32.5,Ciment M 32.5,LG-202603-000395,Construction,Ciment,1.0,AUTO,28,114660.14285714286,2023-2026,OUI
Confection cachet original,confection cachet original,confection_cachet_original,Confection cachet original,LG-202603-000444,Textile,Confection,1.0,AUTO,28,9297.857142857143,2023-2026,OUI
Cornière 70x70 (barre de 6 m),cornière,corniere_100x100_barre_6_m,Cornière 100x100 (barre de 6 m),LG-202603-000477,Construction,Corniere,1.0,AUTO,28,32401.75,2023-2026,OUI
Cornière 80x80 (barre de 6 m),cornière,corniere_100x100_barre_6_m,Cornière 100x100 (barre de 6 m),LG-202603-000477,Construction,Corniere,1.0,AUTO,28,49871.75,2023-2026,OUI
Couscous Maghreb 500 grammes,couscous maghreb grammes,couscous_maghreb_500_grammes,Couscous Maghreb 500 grammes,LG-202603-000508,Alimentation,Couscous,1.0,AUTO,28,6024.928571428572,2024-2026,OUI
"Eau minérale Bara 0,5 litre",eau minérale bara,eau_minerale_bara_0.5_litre,"Eau minérale Bara 0,5 litre",LG-202603-000570,Alimentation,Eau minerale,1.0,AUTO,28,4038.1071428571427,2023-2026,OUI
"Engrais complexe coton (rouge, blanc, noir)",engrais complexe coton,"engrais_complexe_coton_rouge,_blanc,_noir","Engrais complexe coton (rouge, blanc, noir)",LG-202603-000612,Agriculture,Engrais,1.0,AUTO,28,45242.67857142857,2023-2026,OUI
Entretien moto Djakarta,entretien moto djakarta,entretien_moto_djakarta,Entretien moto Djakarta,LG-202603-000635,Transport et vehicules,Moto,1.0,AUTO,28,5073.785714285715,2023-2026,OUI
"Enveloppe format moyen 11/10,5",enveloppe format moyen,enveloppe_format_moyen_11_10.5,"Enveloppe format moyen 11/10,5",LG-202603-000647,Fournitures bureau,Enveloppe,1.0,AUTO,28,11827.785714285714,2023-2026,OUI
Enveloppe grises format A4,enveloppe grises format,enveloppe_grises_format_a4,Enveloppe grises format A4,LG-202603-000648,Fournitures bureau,Enveloppe,1.0,AUTO,28,14758.214285714286,2023-2026,OUI
Feutre à polir,feutre polir,feutre_polir,Feutre à polir,LG-202603-000688,Fournitures bureau,Feutre,1.0,AUTO,28,4125.285714285715,2023-2026,OUI
Gomme (encre et crayon),gomme,gomme_encre_crayon,Gomme (encre et crayon),LG-202603-000785,Fournitures bureau,Encre,1.0,AUTO,28,2332.8928571428573,2023-2026,OUI
Huile AYA 1 litre,huile aya,huile_aya_1_litre,Huile AYA 1 litre,LG-202603-000821,Alimentation,Huile,1.0,AUTO,28,16706.5,2023-2026,OUI
Huile Direction,huile direction,huile_direction,Huile Direction,LG-202603-000831,Alimentation,Huile,1.0,AUTO,28,3237.3571428571427,2023-2026,OUI
Huile d'olive 5 Litres,huile olive litres,huile_olive_25_litres,Huile d'olive 25 Litres,LG-202603-000840,Alimentation,Huile,1.0,AUTO,28,87223.10714285714,2023-2026,OUI
Interrupteur D.V.V (M) ingelec,interrupteur ingelec,interrupteur_d.a_m_ingelec,Interrupteur D.A (M) ingelec,LG-202603-000858,Electricite,Interrupteur,1.0,AUTO,28,22267.821428571428,2023-2026,OUI
Lait belle hollandaise Grand format,lait belle hollandaise grand format,lait_belle_hollandaise_grand_format,Lait belle hollandaise Grand format,LG-202603-000917,Alimentation,Lait,1.0,AUTO,28,88226.32142857143,2023-2026,OUI
Mayonnaise petit matin(450ml),mayonnaise petit matin,mayonnaise_petit_matin_1000ml,Mayonnaise petit matin(1000ml),LG-202603-001013,Alimentation,Mayonnaise,1.0,AUTO,28,20192.14285714286,2023-2026,OUI
Nescafé moyenne boîte,nescafé moyenne boîte,nescafe_moyenne_boite,Nescafé moyenne boîte,LG-202603-001047,Alimentation,Cafe,1.0,AUTO,28,29950.571428571428,2023-2026,OUI
Prise de courant 2x16A +T(M),prise courant,prise_2x16a_+t_m,Prise de courant 2x16A +T(M),LG-202603-001199,,,1.0,AUTO,28,7355.25,2023-2026,OUI
Savon ménage gros morceau,savon ménage gros morceau,savon_menage_gros_morceau,Savon ménage gros morceau,LG-202603-001269,Sante et hygiene,Savon,1.0,AUTO,28,5615.928571428572,2023-2026,OUI
Savon ménage petit morceau,savon ménage petit morceau,savon_menage_petit_morceau,Savon ménage petit morceau,LG-202603-001270,Sante et hygiene,Savon,1.0,AUTO,28,4561.071428571428,2023-2026,OUI
Stylo Bic feutre bout fin noir,stylo bic feutre bout fin noir,stylo_bic_feutre_bout_fin_noir,Stylo Bic feutre bout fin noir,LG-202603-001308,Fournitures bureau,Stylo,1.0,AUTO,28,6754.142857142857,2023-2026,OUI
Thé Excellence,thé excellence,the_excellence,Thé Excellence,LG-202603-001353,,,1.0,AUTO,28,17612.10714285714,2023-2026,OUI
Tôle noire 40/10,tôle noire,tole_noire_10_10,Tôle noire 10/10,LG-202603-001398,Construction,Tole,1.0,AUTO,28,44491.67857142857,2023-2026,OUI
Tôle noire 50/10,tôle noire,tole_noire_10_10,Tôle noire 10/10,LG-202603-001398,Construction,Tole,1.0,AUTO,28,70213.10714285714,2023-2026,OUI
Tôles Lisses,tôles lisses,toles_lisses,Tôles Lisses,LG-202603-001414,Construction,Tole,1.0,AUTO,28,9167.42857142857,2023-2026,OUI
Tomates pelées 450 grammes,tomates pelées grammes,tomates_pelees_450_grammes,Tomates pelées 450 grammes,LG-202603-001415,Divers,Grammes,1.0,AUTO,28,24413.39285714286,2023-2026,OUI
Vis à tête ronde M6x45,vis tête ronde,vis_tete_ronde_m6x45,Vis à tête ronde M6x45,LG-202603-001467,,,1.0,AUTO,28,5935.464285714285,2023-2026,OUI
Attache géante GF,attache géante,attache_geante_gf,Attache géante GF,LG-202603-000078,Divers,Attache,1.0,AUTO,27,4779.037037037037,2023-2026,OUI
Attache géante MF,attache géante,attache_geante_gf,Attache géante GF,LG-202603-000078,Divers,Attache,1.0,AUTO,27,3376.740740740741,2023-2026,OUI
Baguette phosphore,baguette phosphore,baguette_phosphore,Baguette phosphore,LG-202603-000089,Divers,Baguette,1.0,AUTO,27,9080.222222222223,2023-2026,OUI
Biscuit bonne qualité 175 grammes,biscuit bonne qualité grammes,biscuit_bonne_175_grammes,Biscuit bonne qualité 175 grammes,LG-202603-000127,Alimentation,Biscuits,1.0,AUTO,27,30578.777777777777,2023-2026,OUI
Ciment colle,ciment colle,ciment_colle,Ciment colle,LG-202603-000388,Construction,Ciment,1.0,AUTO,27,204663.59259259258,2023-2026,OUI
"Eau Assinie 0,5 littre",eau assinie littre,eau_assinie_0.5_littre,"Eau Assinie 0,5 littre",LG-202603-000557,Plomberie et eau,Eau,1.0,AUTO,27,3774.5925925925926,2023-2026,OUI
"Eau minérale KIRENE 0,5 litre",eau minérale kirene,eau_minerale_kirene_0.5_litre,"Eau minérale KIRENE 0,5 litre",LG-202603-000574,Alimentation,Eau minerale,1.0,AUTO,27,4483.518518518518,2023-2026,OUI
Enveloppe autocollante MF,enveloppe autocollante,enveloppe_autocollante_mf,Enveloppe autocollante MF,LG-202603-000638,Fournitures bureau,Enveloppe,1.0,AUTO,27,10572.222222222223,2023-2026,OUI
Enveloppe format A5,enveloppe format,enveloppe_format_10x110_15x21cm,Enveloppe format 10x110 et 15x21 cm,LG-202603-000644,Fournitures bureau,Enveloppe,1.0,AUTO,27,14558.037037037036,2023-2026,OUI
Enveloppe pochette 36*44,enveloppe pochette,enveloppe_pochette_31*41,Enveloppe pochette 31*41,LG-202603-000652,Fournitures bureau,Enveloppe,1.0,AUTO,27,2779.703703703704,2023-2026,OUI
Epingle de bureau,epingle bureau,epingle_bureau,Epingle de bureau,LG-202603-000656,Mobilier,Bureau,1.0,AUTO,27,4992.2962962962965,2023-2026,OUI
Feutre gros,feutre gros,feutre_gros,Feutre gros,LG-202603-000686,Fournitures bureau,Feutre,1.0,AUTO,27,4203.7037037037035,2023-2026,OUI
Feutre pour tableau blanc,feutre tableau blanc,feutre_tableau_blanc,Feutre pour tableau blanc,LG-202603-000690,Fournitures bureau,Feutre,1.0,AUTO,27,3186.925925925926,2023-2026,OUI
"Fusibles 0,5A (paquet)",fusibles,fusibles_0.1a_paquet,"Fusibles 0,1A (paquet)",LG-202603-000725,Electricite,Fusible,1.0,AUTO,27,9155.481481481482,2023-2026,OUI
"Fusibles AM 25 A 10,3x38 (paquet)",fusibles,fusibles_0.1a_paquet,"Fusibles 0,1A (paquet)",LG-202603-000725,Electricite,Fusible,1.0,AUTO,27,23850.814814814814,2023-2026,OUI
Huile sans cholestérol,huile sans cholestérol,huile_cholesterol,Huile sans cholestérol,LG-202603-000824,Alimentation,Huile,1.0,AUTO,27,1740.148148148148,2023-2026,OUI
Huile tournesol,huile tournesol,huile_tournesol,Huile tournesol,LG-202603-000846,Alimentation,Huile,1.0,AUTO,27,2058.8518518518517,2023-2026,OUI
Interrupteur SA (M) ingelec,interrupteur ingelec,interrupteur_d.a_m_ingelec,Interrupteur D.A (M) ingelec,LG-202603-000858,Electricite,Interrupteur,1.0,AUTO,27,11081.481481481482,2023-2026,OUI
Interrupteur V.V (M) ingelec,interrupteur ingelec,interrupteur_d.a_m_ingelec,Interrupteur D.A (M) ingelec,LG-202603-000858,Electricite,Interrupteur,1.0,AUTO,27,16479.962962962964,2023-2026,OUI
Laterites,laterites,laterites,Laterites,LG-202603-000968,,,1.0,AUTO,27,33495.96296296296,2023-2026,OUI
Location de matériel de sonorisation,location matériel sonorisation,location_materiel_sonorisation,Location de matériel de sonorisation,LG-202603-000977,Services,Location,1.0,AUTO,27,25883.962962962964,2023-2026,OUI
Mayonnaise petit matin(1000ml),mayonnaise petit matin,mayonnaise_petit_matin_1000ml,Mayonnaise petit matin(1000ml),LG-202603-001013,Alimentation,Mayonnaise,1.0,AUTO,27,20873.0,2023-2026,OUI
Mayonnaise petit matin(250ml),mayonnaise petit matin,mayonnaise_petit_matin_1000ml,Mayonnaise petit matin(1000ml),LG-202603-001013,Alimentation,Mayonnaise,1.0,AUTO,27,11980.74074074074,2023-2026,OUI
Mil (petit mil) pilé,mil pilé,mil_petit_mil_pile,Mil (petit mil) pilé,LG-202603-001022,Alimentation,Mil,1.0,AUTO,27,23911.74074074074,2026-2026,OUI
Nescao 450 grammes,nescao grammes,nescao_450_grammes,Nescao 450 grammes,LG-202603-001050,Divers,Grammes,1.0,AUTO,27,24612.444444444445,2023-2026,OUI
Rond Tor N° 16( barre de 12m) HA 16,rond tor,fer_rond_fer_tor_n°_10_barre_12m_ha_10,Rond Tor N° 10( barre de 12m) HA 10,LG-202603-000667,Divers,Barre,1.0,AUTO,27,14893.222222222223,2023-2026,OUI
Rond Tor N° 20( barre de 12m) HA 20,rond tor,fer_rond_fer_tor_n°_10_barre_12m_ha_10,Rond Tor N° 10( barre de 12m) HA 10,LG-202603-000667,Divers,Barre,1.0,AUTO,27,21877.222222222223,2023-2026,OUI
Rond Tor N° 25 ( barre de 12m) HA 25,rond tor,fer_rond_fer_tor_n°_10_barre_12m_ha_10,Rond Tor N° 10( barre de 12m) HA 10,LG-202603-000667,Divers,Barre,1.0,AUTO,27,26256.666666666668,2023-2026,OUI
Rouleau fil nylon,rouleau fil nylon,rouleau_fil_nylon,Rouleau fil nylon,LG-202603-001247,Textile,Fil,1.0,AUTO,27,14904.518518518518,2023-2026,OUI
Serrures de sureté pour placard,serrures sureté placard,serrures_surete_placard,Serrures de sureté pour placard,LG-202603-001286,,,1.0,AUTO,27,8151.185185185185,2023-2026,OUI
Serrures encastrées,serrures encastrées,serrures_encastrees,Serrures encastrées,LG-202603-001285,,,1.0,AUTO,27,6843.814814814815,2023-2026,OUI
Terre (voyage camion )remblais,terre remblais,terre_voyage_camion_remblais,Terre (voyage camion ) remblais,LG-202603-001341,Transport et vehicules,Camion,1.0,AUTO,27,37985.48148148148,2023-2026,OUI
Thé Rakin,thé rakin,the_rakin,Thé Rakin,LG-202603-001357,,,1.0,AUTO,27,16890.666666666668,2023-2026,OUI
Thé sangho,thé sangho,the_sangho,Thé sangho,LG-202603-001359,,,1.0,AUTO,27,16496.62962962963,2023-2026,OUI
Torchon vip,torchon vip,torchon_vip,Torchon vip,LG-202603-001417,,,1.0,AUTO,27,7643.185185185185,2023-2026,OUI
Vitre anti-solaire 8mm,vitre anti solaire,vitre_anti-solaire_4mm,Vitre anti-solaire 4mm,LG-202603-001472,Construction,Vitre,1.0,AUTO,27,60063.77777777778,2023-2026,OUI
Vitre bronzée 6 mm,vitre bronzée,vitre_bronzee_4mm,Vitre bronzée 4 mm,LG-202603-001478,Construction,Vitre,1.0,AUTO,27,14879.25925925926,2023-2026,OUI
Vitre bronzée 8 mm,vitre bronzée,vitre_bronzee_4mm,Vitre bronzée 4 mm,LG-202603-001478,Construction,Vitre,1.0,AUTO,27,18307.222222222223,2023-2026,OUI
Yaourt (bte),yaourt,yaourt_bte,Yaourt (bte),LG-202603-001485,Alimentation,Yaourt,1.0,AUTO,27,819.5185185185185,2023-2026,OUI
Agrafe n°16,agrafe,agrafe_23_10,Agrafe 23/10,LG-202603-000027,Fournitures bureau,Agrafe,1.0,AUTO,26,8122.307692307692,2023-2026,OUI
Beurre pasteurisé 450 grammes,beurre pasteurisé grammes,beurre_pasteurise_450_grammes,Beurre pasteurisé 450 grammes,LG-202603-000119,Alimentation,Beurre,1.0,AUTO,26,16957.576923076922,2023-2026,OUI
Câble de piquet de terre,câble piquet terre,cable_piquet_terre,Câble de piquet de terre,LG-202603-000244,Electricite,Cable,1.0,AUTO,26,70356.73076923077,2023-2026,OUI
Café soluble de 200 gr,café soluble,cafe_soluble_200_gr,Café soluble de 200 gr,LG-202603-000292,Alimentation,Cafe,1.0,AUTO,26,40727.88461538462,2023-2026,OUI
Cafetière Automatique,cafetière automatique,cafetiere_automatique,Cafetière Automatique,LG-202603-000294,Alimentation,Cafe,1.0,AUTO,26,36144.57692307692,2023-2026,OUI
Carte de visite,carte visite,carte_visite,Carte de visite,LG-202603-000338,Fournitures bureau,Carte,1.0,AUTO,26,11500.0,2023-2026,OUI
Carte de vœux en couleur,carte couleur,carte_vœux_couleur,Carte de vœux en couleur,LG-202603-000340,Divers,Couleur,1.0,AUTO,26,18722.923076923078,2023-2026,OUI
Encre de chine verte,encre chine verte,encre_chine_verte,Encre de chine verte,LG-202603-000603,Fournitures bureau,Encre,1.0,AUTO,26,2012.6923076923076,2023-2026,OUI
En tête toile,tête toile,tete_toile,En tête toile,LG-202603-001343,,,1.0,AUTO,26,7774.192307692308,2023-2026,OUI
Entretien moto Yamaha,entretien moto yamaha,entretien_moto_yamaha,Entretien moto Yamaha,LG-202603-000636,Transport et vehicules,Moto,1.0,AUTO,26,5234.923076923077,2023-2026,OUI
"Fusibles AM 38 x 10,5 25 A (paquet)",fusibles,fusibles_0.1a_paquet,"Fusibles 0,1A (paquet)",LG-202603-000725,Electricite,Fusible,1.0,AUTO,26,25443.5,2023-2026,OUI
Location de Petites Voitures,location petites voitures,location_petites_voitures,Location de Petites Voitures,LG-202603-000978,Transport et vehicules,Voiture,1.0,AUTO,26,35834.692307692305,2023-2026,OUI
Moellon (voyage camion),moellon,moellon,Moellon,LG-202603-001028,,,1.0,AUTO,26,48714.192307692305,2023-2026,OUI
Papier abrasif,papier abrasif,papier_abrasif,Papier abrasif,LG-202603-001067,Fournitures bureau,Papier,1.0,AUTO,26,15536.538461538463,2023-2026,OUI
Pois chiches 450 grammes,pois chiches grammes,pois_chiches_450_grammes,Pois chiches 450 grammes,LG-202603-001177,Alimentation,Pois,1.0,AUTO,26,1374.923076923077,2023-2026,OUI
Punaise,punaise,punaise,Punaise,LG-202603-001207,,,1.0,AUTO,26,2117.6153846153848,2023-2026,OUI
Sable du fleuve (voyage camion),sable fleuve,sable_fleuve_7m3,Sable du fleuve (7m3),LG-202603-001252,Construction,Sable,1.0,AUTO,26,62841.88461538462,2023-2026,OUI
Tasse petite émaillée,tasse petite émaillée,tasse_petite_emaillee,Tasse petite émaillée,LG-202603-001332,Art de la table,Tasse,1.0,AUTO,26,15058.73076923077,2023-2026,OUI
Tube en cuivre reduit diamètre 12 (Rouleau de 15 m),tube cuivre reduit diamètre,tube_cuivre_reduit_diametre_12_rouleau_15_m,Tube en cuivre reduit diamètre 12 (Rouleau de 15 m),LG-202603-001428,Construction,Cuivre,1.0,AUTO,26,39697.03846153846,2023-2026,OUI
Verre termosse complet,verre termosse complet,verre_termosse_complet,Verre termosse complet,LG-202603-001441,Construction,Verre,1.0,AUTO,26,30078.23076923077,2023-2026,OUI
Vis à tête ronde M6x60,vis tête ronde,vis_tete_ronde_m6x45,Vis à tête ronde M6x45,LG-202603-001467,,,1.0,AUTO,26,6494.2307692307695,2023-2026,OUI
"Bac autoportant 4,9 kg",bac autoportant,bac_autoportant_4.9kg,"Bac autoportant 4,9 kg",LG-202603-000084,Divers,Bac,1.0,AUTO,25,5275.68,2023-2026,OUI
Ballast,ballast,ballast,Ballast,LG-202603-000097,Divers,Ballast,1.0,AUTO,25,53089.84,2024-2026,OUI
Beurre pasteurisé écrèmé 450 grammes,beurre pasteurisé écrèmé grammes,beurre_pasteurise_ecreme_450_grammes,Beurre pasteurisé écrèmé 450 grammes,LG-202603-000122,Alimentation,Beurre,1.0,AUTO,25,31416.96,2026-2026,OUI
Biscuit Tiffany,biscuit tiffany,biscuit_tiffany,Biscuit Tiffany,LG-202603-000143,Alimentation,Biscuits,1.0,AUTO,25,20519.72,2023-2026,OUI
"Ciment CPA52,5",ciment cpa,ciment_cpa_35,Ciment CPA 35,LG-202603-000389,Construction,Ciment,1.0,AUTO,25,119423.8,2023-2026,OUI
Confection de sacs en cuir pour Dame,confection sacs cuir dame,confection_sacs_cuir_dame,Confection de sacs en cuir pour Dame,LG-202603-000445,Textile,Confection,1.0,AUTO,25,22984.6,2023-2026,OUI
Enveloppe blanches mf50,enveloppe blanches,enveloppe_blanches_mf50,Enveloppe blanches mf50,LG-202603-000640,Fournitures bureau,Enveloppe,1.0,AUTO,25,12228.48,2023-2026,OUI
Enveloppes autocollantes PF,enveloppes autocollantes,enveloppes_autocollantes_pf,Enveloppes autocollantes PF,LG-202603-000655,Fournitures bureau,Enveloppe,1.0,AUTO,25,1484.68,2023-2026,OUI
"Fusibles 0,1A (paquet)",fusibles,fusibles_0.1a_paquet,"Fusibles 0,1A (paquet)",LG-202603-000725,Electricite,Fusible,1.0,AUTO,25,8539.68,2023-2026,OUI
"Fusibles 0,3A (paquet)",fusibles,fusibles_0.1a_paquet,"Fusibles 0,1A (paquet)",LG-202603-000725,Electricite,Fusible,1.0,AUTO,25,8626.8,2023-2026,OUI
Fusibles AM 10A,fusibles,fusibles_0.1a_paquet,"Fusibles 0,1A (paquet)",LG-202603-000725,Electricite,Fusible,1.0,AUTO,25,15272.72,2023-2026,OUI
Fusil de courant (apparent),fusil courant,fusil_apparent,Fusil de courant (apparent),LG-202603-000732,,,1.0,AUTO,25,6593.32,2023-2026,OUI
Main d'œuvre jounalière (manœuvre),main uvre jounalière,main_œuvre_jounaliere_manœuvre,Main d'œuvre jounalière (manœuvre),LG-202603-000986,,,1.0,AUTO,25,2557.08,2023-2026,OUI
Noix de cajou,noix cajou,noix_cajou,Noix de cajou,LG-202603-001056,,,1.0,AUTO,25,7862.24,2023-2026,OUI
Papier auto copiant MF,papier auto copiant,papier_auto_copiant_mf,Papier auto copiant MF,LG-202603-001070,Fournitures bureau,Papier,1.0,AUTO,25,7228.4,2023-2026,OUI
Papier photo 9 x 13,papier photo,papier_photo_18_x_24,Papier photo 18 x 24,LG-202603-001085,Fournitures bureau,Papier,1.0,AUTO,25,4718.08,2023-2026,OUI
Plateaux inox 102,plateaux inox,plateaux_inox_102,Plateaux inox 102,LG-202603-001149,Construction,Inox,1.0,AUTO,25,60957.04,2023-2026,OUI
Surligneur,surligneur,surligneur,Surligneur,LG-202603-001317,,,1.0,AUTO,25,3562.8,2023-2026,OUI
Telerupteur ( Ingelec),telerupteur,telerupteur_ingelec,Telerupteur ( Ingelec),LG-202603-001339,,,1.0,AUTO,25,22720.48,2023-2026,OUI
Vis de rappel (crochet de lit),vis rappel,vis_rappel_crochet_lit,Vis de rappel (crochet de lit),LG-202603-001465,,,1.0,AUTO,25,8864.68,2023-2026,OUI
Vitre armée,vitre armée,vitre_armee,Vitre armée,LG-202603-001477,Construction,Vitre,1.0,AUTO,25,34418.84,2023-2026,OUI
Yop lait nature (plaquette de 4),yop lait nature,yop_lait_nature_plaquette_4,Yop lait nature (plaquette de 4),LG-202603-001490,Alimentation,Lait,1.0,AUTO,25,1242.72,2023-2026,OUI
Agrafes 24/6 ( 1000 punti/staples),agrafes,agrafes_23_17_1000_punti_staples,Agrafes 23/17( 1000 punti/staples),LG-202603-000034,Fournitures bureau,Agrafe,1.0,AUTO,24,10435.583333333332,2023-2026,OUI
Bloc note GF,bloc note,bloc_note_gf,Bloc note GF,LG-202603-000172,Fournitures bureau,Bloc notes,1.0,AUTO,24,51924.291666666664,2023-2026,OUI
Carte de visite sur papier toile,carte visite papier toile,carte_visite_papier_toile,Carte de visite sur papier toile,LG-202603-000339,Fournitures bureau,Papier,1.0,AUTO,24,12155.583333333332,2023-2026,OUI
Chemises dures,chemises dures,chemises_dures,Chemises dures,LG-202603-000373,Textile,Chemise,1.0,AUTO,24,10680.208333333332,2023-2026,OUI
"Ciment CPA42,5",ciment cpa,ciment_cpa_35,Ciment CPA 35,LG-202603-000389,Construction,Ciment,1.0,AUTO,24,118841.29166666667,2023-2026,OUI
Confection de sacs en cuir pour Homme,confection sacs cuir homme,confection_sacs_cuir_homme,Confection de sacs en cuir pour Homme,LG-202603-000446,Textile,Confection,1.0,AUTO,24,23073.041666666668,2023-2026,OUI
Cornière 100x100 (barre de 6 m),cornière,corniere_100x100_barre_6_m,Cornière 100x100 (barre de 6 m),LG-202603-000477,Construction,Corniere,1.0,AUTO,24,54564.833333333336,2023-2026,OUI
Correcteur machine à écrire,correcteur machine écrire,correcteur_machine_ecrire,Correcteur machine à écrire,LG-202603-000493,Fournitures bureau,Correcteur,1.0,AUTO,24,2310.6666666666665,2023-2026,OUI
Eau DIAGO petit sachet,eau diago petit sachet,eau_diago_petit_sachet,Eau DIAGO petit sachet,LG-202603-000562,Plastiques et emballages,Sac,1.0,AUTO,24,1454.625,2023-2026,OUI
"Engrais NPK (16,26,12) complexe riz",engrais npk complexe riz,engrais_npk_16.26.12_complexe_riz,"Engrais NPK (16,26,12) complexe riz",LG-202603-000622,Alimentation,Riz,1.0,AUTO,24,31570.708333333332,2023-2026,OUI
"Engrais NPK,UREE (50KG )",engrais npk uree,"engrais_npk,uree_50kg","Engrais NPK,UREE (50KG )",LG-202603-000615,Agriculture,Engrais,1.0,AUTO,24,31029.875,2023-2026,OUI
Enveloppe blanches pf 30,enveloppe blanches,enveloppe_blanches_mf50,Enveloppe blanches mf50,LG-202603-000640,Fournitures bureau,Enveloppe,1.0,AUTO,24,10812.291666666668,2023-2026,OUI
Enveloppe format A6,enveloppe format,enveloppe_format_10x110_15x21cm,Enveloppe format 10x110 et 15x21 cm,LG-202603-000644,Fournitures bureau,Enveloppe,1.0,AUTO,24,12046.208333333332,2023-2026,OUI
Fiche detenteur,fiche detenteur,fiche_detenteur,Fiche detenteur,LG-202603-000696,,,1.0,AUTO,24,8426.958333333334,2023-2026,OUI
"Fil emaillé (bobinage) 0,80",fil emaillé,fil_emaille_bobinage_0.72,"Fil emaillé (bobinage) 0,72",LG-202603-000703,Textile,Fil,1.0,AUTO,24,22835.041666666668,2023-2026,OUI
Fusibles 1A (paquet),fusibles,fusibles_0.1a_paquet,"Fusibles 0,1A (paquet)",LG-202603-000725,Electricite,Fusible,1.0,AUTO,24,8804.166666666666,2023-2026,OUI
Gants simple (protège froid),gants simple,gants_simple_protege_froid,Gants simple (protège froid),LG-202603-000764,Sante et hygiene,Gants,1.0,AUTO,24,3159.7083333333335,2023-2024,OUI
Lait candia 1 L,lait candia,lait_candia_0.5l,"Lait candia 0,5 l",LG-202603-000918,Alimentation,Lait,1.0,AUTO,24,11201.25,2024-2026,OUI
Lait en poudre Nido/boîte de 450 grammes,lait poudre nido boîte grammes,lait_poudre_nido_boite_450_grammes,Lait en poudre Nido/boîte de 450 grammes,LG-202603-000948,Alimentation,Lait,1.0,AUTO,24,77668.75,2024-2026,OUI
Lait en poudre Nido/boîte de 900 grammes,lait poudre nido boîte grammes,lait_poudre_nido_boite_450_grammes,Lait en poudre Nido/boîte de 450 grammes,LG-202603-000948,Alimentation,Lait,1.0,AUTO,24,79119.95833333333,2024-2026,OUI
Lait Loya 5kg,lait loya,lait_loya_10kg,Lait Loya 10kg,LG-202603-000935,Alimentation,Lait,1.0,AUTO,24,15432.291666666668,2023-2026,OUI
Lave vitre (1 litre),lave vitre,lave_vitre_1_litre,Lave vitre (1 litre),LG-202603-000969,Construction,Vitre,1.0,AUTO,24,1406.4166666666667,2023-2026,OUI
Papier isolant pour fermeture,papier isolant fermeture,papier_isolant_fermeture,Papier isolant pour fermeture,LG-202603-001075,Fournitures bureau,Papier,1.0,AUTO,24,8402.125,2023-2026,OUI
Papier isolant pour habillage,papier isolant habillage,papier_isolant_habillage,Papier isolant pour habillage,LG-202603-001076,Fournitures bureau,Papier,1.0,AUTO,24,4933.0,2023-2026,OUI
Papiers rame A4 80 g,papiers rame,papiers_rame_80g,Papiers rame 80 g,LG-202603-001092,Fournitures bureau,Papier,1.0,AUTO,24,19510.333333333332,2024-2026,OUI
"Pile alcaline de 1,5 V",pile alcaline,pile_alcaline_1.5_v,"Pile alcaline de 1,5 V",LG-202603-001141,Electricite,Pile,1.0,AUTO,24,22816.0,2023-2026,OUI
Pile plate de 9V,pile plate,pile_plate_9v,Pile plate de 9V,LG-202603-001142,Electricite,Pile,1.0,AUTO,24,14851.041666666668,2023-2026,OUI
Rouleaux fil TH 12/10 rigide,rouleaux fil rigide,rouleaux_fil_th_12_10_rigide,Rouleaux fil TH 12/10 rigide,LG-202603-001249,Textile,Fil,1.0,AUTO,24,14450.041666666668,2023-2026,OUI
Rouleaux fil TH 16/10 rigide,rouleaux fil rigide,rouleaux_fil_th_12_10_rigide,Rouleaux fil TH 12/10 rigide,LG-202603-001249,Textile,Fil,1.0,AUTO,24,17806.791666666668,2023-2026,OUI
Terreau (voyage camion ),terreau,terreau_voyage_camion,Terreau (voyage camion ),LG-202603-001342,Transport et vehicules,Camion,1.0,AUTO,24,37556.583333333336,2023-2026,OUI
Transparent copie couleur,transparent copie couleur,transparent_copie_couleur,Transparent copie couleur,LG-202603-001424,Divers,Couleur,1.0,AUTO,24,7214.083333333333,2023-2026,OUI
Transparent copie ordinaire,transparent copie ordinaire,transparent_copie,Transparent copie ordinaire,LG-202603-001423,,,1.0,AUTO,24,6966.458333333333,2023-2026,OUI
Tuyauterie Lavabo,tuyauterie lavabo,tuyauterie_lavabo,Tuyauterie Lavabo,LG-202603-001432,Plomberie et eau,Tuyau,1.0,AUTO,24,13163.166666666668,2023-2026,OUI
